Team,Average Age
Jets,25.1
Lions,25.2
Browns,25.3
Panthers,25.3
Jaguars,25.5
Rams,25.5
Giants,25.6
Colts,25.6
Cowboys,25.6
Bengals,25.6
Steelers,25.6
Vikings,25.6
Broncos,25.6
Dolphins,25.7
Packers,25.7
Raiders,25.7
Chargers,25.8
Ravens,25.8
Eagles,25.9
Falcons,25.9
Football Team,26.0
Saints,26.0
Chiefs,26.1
Bills,26.3
Titans,26.4
Seahawks,26.4
49ers,26.5
Patriots,26.5
Cardinals,26.7
Bucs,26.7
Texans,26.8
Bears,27.0
