Team,Defensive PPG
Buffalo,18.3
Denver,18.9
New England,19.4
New Orleans,19.7
San Francisco,20.6
Tennessee,20.7
Tampa Bay,20.9
Dallas,21.2
LA Rams,21.3
Green Bay,21.3
Indianapolis,21.5
Seattle,21.5
Cincinnati,21.8
Cleveland,21.8
Miami,21.9
Arizona,22.2
Kansas City,22.4
Baltimore,23.1
Philadelphia,23.1
Carolina,23.8
Chicago,23.9
Pittsburgh,24.4
NY Giants,24.5
Minnesota,25.1
Washington,25.5
Las Vegas,25.8
Houston,26.6
Jacksonville,26.9
Atlanta,27.0
LA Chargers,27.0
Detroit,27.5
NY Jets,29.6
