Team,Offensive PPG
Dallas,30.4
Tampa Bay,29.9
Buffalo,29.8
Kansas City,29.4
LA Chargers,27.9
LA Rams,27.0
New England,26.6
Indianapolis,26.5
Cincinnati,26.3
Arizona,25.6
Green Bay,25.6
Philadelphia,25.5
Minnesota,25.0
Tennessee,24.2
San Francisco,24.0
Seattle,23.2
Baltimore,22.8
Las Vegas,21.8
New Orleans,21.4
Cleveland,20.5
Pittsburgh,20.2
Miami,20.1
Washington,19.7
Denver,19.7
Detroit,19.1
Atlanta,18.4
Chicago,18.3
NY Jets,18.2
Carolina,17.9
Houston,16.5
NY Giants,15.2
Jacksonville,14.9
